RespondentID,StartDate,EndDate,IP_Address,Pop_Code,Region,Family_Name,Given_Name,email,Collection_Date,Latitude,Longitude,Altitude,Pop_Size,Pct_Canopy_Cover,EarthTrek_name,Population_Type,Type_Other,Understory,Roadside,Hand_Removal,Herbicide,Mowing,Biocontrol,None_Known,Sampled_Before,NPlots,P1Ros,P1Adult,P1Ros0,P1Ros20,P1Ros40,P1Ros60,P1Ros80,P1Adult0,P1Adult20,P1Adult40,P1Adult60,P1Adult80,P1Fruits0,P1Fruits20,P1Fruits40,P1Fruits60,P1Fruits80,P1Leaves0,P1Leaves20,P1Leaves40,P1Leaves60,P1Leaves80,P1Dmg0,P1Dmg20,P1Dmg40,P1Dmg60,P1Dmg80,P2Ros,P2Adult,P2Ros0,P2Ros20,P2Ros40,P2Ros60,P2Ros80,P2Adult0,P2Adult20,P2Adult40,P2Adult60,P2Adult80,P2Fruits0,P2Fruits20,P2Fruits40,P2Fruits60,P2Fruits80,P2Leaves0,P2Leaves20,P2Leaves40,P2Leaves60,P2Leaves80,P2Dmg0,P2Dmg20,P2Dmg40,P2Dmg60,P2Dmg80,P3Ros,P3Adult,P3Ros0,P3Ros20,P3Ros40,P3Ros60,P3Ros80,P3Adult0,P3Adult20,P3Adult40,P3Adult60,P3Adult80,P3Fruits0,P3Fruits20,P3Fruits40,P3Fruits60,P3Fruits80,P3Leaves0,P3Leaves20,P3Leaves40,P3Leaves60,P3Leaves80,P3Dmg0,P3Dmg20,P3Dmg40,P3Dmg60,P3Dmg80,P4Ros,P4Adult,P4Ros0,P4Ros20,P4Ros40,P4Ros60,P4Ros80,P4Adult0,P4Adult20,P4Adult40,P4Adult60,P4Adult80,P4Fruits0,P4Fruits20,P4Fruits40,P4Fruits60,P4Fruits80,P4Leaves0,P4Leaves20,P4Leaves40,P4Leaves60,P4Leaves80,P4Dmg0,P4Dmg20,P4Dmg40,P4Dmg60,P4Dmg80,P5Ros,P5Adult,P5Ros0,P5Ros20,P5Ros40,P5Ros60,P5Ros80,P5Adult0,P5Adult20,P5Adult40,P5Adult60,P5Adult80,P5Fruits0,P5Fruits20,P5Fruits40,P5Fruits60,P5Fruits80,P5Leaves0,P5Leaves20,P5Leaves40,P5Leaves60,P5Leaves80,P5Dmg0,P5Dmg20,P5Dmg40,P5Dmg60,P5Dmg80,P6Ros,P6Adult,P6Ros0,P6Ros20,P6Ros40,P6Ros60,P6Ros80,P6Adult0,P6Adult20,P6Adult40,P6Adult60,P6Adult80,P6Fruits0,P6Fruits20,P6Fruits40,P6Fruits60,P6Fruits80,P6Leaves0,P6Leaves20,P6Leaves40,P6Leaves60,P6Leaves80,P6Dmg0,P6Dmg20,P6Dmg40,P6Dmg60,P6Dmg80,P7Ros,P7Adult,P7Ros0,P7Ros20,P7Ros40,P7Ros60,P7Ros80,P7Adult0,P7Adult20,P7Adult40,P7Adult60,P7Adult80,P7Fruits0,P7Fruits20,P7Fruits40,P7Fruits60,P7Fruits80,P7Leaves0,P7Leaves20,P7Leaves40,P7Leaves60,P7Leaves80,P7Dmg0,P7Dmg20,P7Dmg40,P7Dmg60,P7Dmg80,P8Ros,P8Adult,P8Ros0,P8Ros20,P8Ros40,P8Ros60,P8Ros80,P8Adult0,P8Adult20,P8Adult40,P8Adult60,P8Adult80,P8Fruits0,P8Fruits20,P8Fruits40,P8Fruits60,P8Fruits80,P8Leaves0,P8Leaves20,P8Leaves40,P8Leaves60,P8Leaves80,P8Dmg0,P8Dmg20,P8Dmg40,P8Dmg60,P8Dmg80,P9Ros,P9Adult,P9Ros0,P9Ros20,P9Ros40,P9Ros60,P9Ros80,P9Adult0,P9Adult20,P9Adult40,P9Adult60,P9Adult80,P9Fruits0,P9Fruits20,P9Fruits40,P9Fruits60,P9Fruits80,P9Leaves0,P9Leaves20,P9Leaves40,P9Leaves60,P9Leaves80,P9Dmg0,P9Dmg20,P9Dmg40,P9Dmg60,P9Dmg80,P10Ros,P10Adult,P10Ros0,P10Ros20,P10Ros40,P10Ros60,P10Ros80,P10Adult0,P10Adult20,P10Adult40,P10Adult60,P10Adult80,P10Fruits0,P10Fruits20,P10Fruits40,P10Fruits60,P10Fruits80,P10Leaves0,P10Leaves20,P10Leaves40,P10Leaves60,P10Leaves80,P10Dmg0,P10Dmg20,P10Dmg40,P10Dmg60,P10Dmg80,email_update,email_update_address,Day,Year,second_survey,P1RosFung,P1AdultFung,P1Fung0,P1Fung20,P1Fung40,P1Fung60,P1Fung80,P2RosFung,P2AdultFung,P2Fung0,P2Fung20,P2Fung40,P2Fung60,P2Fung80,P3RosFung,P3AdultFung,P3Fung0,P3Fung20,P3Fung40,P3Fung60,P3Fung80,P4RosFung,P4AdultFung,P4Fung0,P4Fung20,P4Fung40,P4Fung60,P4Fung80,P5RosFung,P5AdultFung,P5Fung0,P5Fung20,P5Fung40,P5Fung60,P5Fung80,P6RosFung,P6AdultFung,P6Fung0,P6Fung20,P6Fung40,P6Fung60,P6Fung80,P7RosFung,P7AdultFung,P7Fung0,P7Fung20,P7Fung40,P7Fung60,P7Fung80,P8RosFung,P8AdultFung,P8Fung0,P8Fung20,P8Fung40,P8Fung60,P8Fung80,P9RosFung,P9AdultFung,P9Fung0,P9Fung20,P9Fung40,P9Fung60,P9Fung80,P10RosFung,P10AdultFung,P10Fung0,P10Fung20,P10Fung40,P10Fung60,P10Fung80,CoverPic_Mean
20,7/26/2010__4:57:53_PM,7/26/2010__5:08:06_PM,REDACTED,ABDAV2,NorthAm,REDACTED,REDACTED,REDACTED,10/1/2010,41.55175556,-90.58705,193,2.00E+05,80,REDACTED,Forest_Understory,NA,1,0,0,0,0,0,1,NA,10,16,NA,6,5,15,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,21,17,19,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,9,NA,11,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,13,NA,NA,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,7,12,13,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.31
20,7/26/2010__4:41:39_PM,7/26/2010__4:57:46_PM,REDACTED,ABDAV1,NorthAm,REDACTED,REDACTED,REDACTED,10/1/2010,41.553325,-90.58442222,191,2.00E+05,50,REDACTED,Forest_Edge,NA,0,0,0,0,0,0,1,NA,10,16,NA,8,12,37,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,4,5,17,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,14,14,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,12,11,11,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,12,14,6,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,10,18,9,17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,14,14,10,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,27,12,30,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,12,7,14,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,NA,14,18,21,11,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.28
21,7/26/2010__12:19:47_PM,7/26/2010__1:07:17_PM,REDACTED,AWSSM1,NorthAm,REDACTED,REDACTED,REDACTED,6/24/2010,46.50898056,-84.25555556,180,287,60,REDACTED,Other(Specify),Walking_paths,1,0,1,0,0,0,0,6/1/2010,10,1670,2,19,4.5,7.6,14,4.5,NA,NA,52,82,NA,NA,NA,24,29,NA,NA,NA,18,16,NA,NA,NA,1,3,NA,722,4,16,17,9,7,12,NA,50,38,NA,NA,NA,32,19,NA,NA,NA,24,18,NA,NA,NA,5,8,NA,NA,563,29,7,11,3,11,8,NA,97,59,36,44,NA,11,7,9,11,NA,11,17,14,13,NA,5,12,4,6,158,64,9,6.2,4,2.5,NA,NA,106,61,90,135,NA,25,10,49,37,NA,18,13,31,27,NA,11,2,20,5,783,53,4,5,7,4.5,11,75,114,101,85,84,11,37,21,46,17,14,24,21,68,14,5,2,3,26,3,472,13,3,8,6,6,8,113,93,105,NA,NA,68,24,78,NA,NA,27,16,41,NA,NA,4,5,12,NA,NA,431,18,9,10,5,6,2,NA,NA,91,88,49,NA,NA,15,10,6,NA,NA,10,12,9,NA,NA,3,2,2,976,15,12,15,14,17,15,118,94,91,113,93.5,62,24,19,22,19,31,16,13,24,12,5,5,3,3,5,376,15,14,8,9,7,11,138,101,142,74,NA,69,13,101,15,NA,20,16,32,7,NA,13,5,17,2,NA,387,36,16,13,21,12,7,78,60,54,66,109,20,14,13,13,36,13,14,11,12,21,3,6,4,4,6,YES,awardlaw@algomau.ca,174,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.83
22,7/21/2010__2:25:43_PM,7/21/2010__2:58:36_PM,REDACTED,LGHOY1,Europe,REDACTED,REDACTED,REDACTED,6/7/2010,40.65694444,-3.841388889,916,90,60,REDACTED,Forest_Understory,stream_bank,1,0,0,0,0,0,1,NA,10,19,1,19,10,18,4,12,NA,NA,120,NA,NA,NA,NA,27,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,15,6,7,6,13,12,14,110,94,114,137,139,29,20,46,28,46,10,7,14,7,15,2,0,1,2,0,3,3,NA,2,5,3.5,NA,NA,NA,84,110,63,NA,NA,11,27,5,NA,NA,6,9,9,NA,NA,0,2,0,5,2,4,4,2,NA,NA,NA,NA,NA,70,74,NA,NA,NA,11,8,NA,NA,NA,11,12,NA,NA,NA,0,0,6,3,5,14,12,16,9,136,137,NA,NA,80,30,32,NA,NA,11,12,14,NA,NA,8,0,0,NA,NA,0,5,12,NA,NA,8,10,5,60,65,57,37,59,8,13,6,3,7,8,9,5,5,8,0,0,2,0,0,10,7,5,8,24,10,6,82,120,77,144,87,12,32,8,102,7,9,12,7,35,11,0,1,0,6,0,8,12,10,3,5,5,12,118,34,74,87,88,32,2,6,9,13,13,4,8,8,10,0,0,0,0,0,33,5,4,4,14,16,10,67,70,98,47,75,5,10,18,4,8,7,4,6,5,6,0,2,0,0,0,42,3,3,7,10,14,12,30,44,25,NA,NA,3,3,1,NA,NA,5,10,3,NA,NA,0,0,1,NA,NA,YES,luis.gimenez@urjc.es,157,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.73
23,7/20/2010__7:58:07_PM,7/20/2010__8:21:04_PM,REDACTED,MSMID3,NorthAm,REDACTED,REDACTED,REDACTED,7/20/2010,41.601,-72.701,5,17.5,80,REDACTED,Other(Specify),trailside,1,0,0,0,0,0,1,NA,7,0,5,NA,NA,NA,NA,NA,125,130,NA,NA,135,94,96,NA,NA,57,10,11,NA,NA,9,2,6,NA,NA,6,0,14,NA,NA,NA,NA,NA,130,120,90,76,48,41,39,17,14,20,6,8,2,0,6,5,8,2,0,3,0,11,NA,NA,NA,NA,NA,70,94,63,60,120,12,36,7,15,20,4,7,2,6,6,3,7,1,6,6,0,13,NA,NA,NA,NA,NA,95,130,93,70,90,17,37,16,12,18,4,3,0,0,0,4,3,0,0,0,0,6,NA,NA,NA,NA,NA,72,100,NA,65,NA,15,18,NA,10,NA,5,11,NA,0,NA,3,9,NA,0,NA,0,4,NA,NA,NA,NA,NA,60,NA,NA,55,50,21,NA,NA,7,4,0,NA,NA,0,0,0,NA,NA,0,0,0,7,NA,NA,NA,NA,NA,40,90,80,40,95,4,20,14,4,16,0,0,0,0,3,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,marrria@gmail.com,200,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.32
24,7/19/2010__6:17:28_AM,7/19/2010__7:12:05_AM,REDACTED,HVBER2,Europe,REDACTED,REDACTED,REDACTED,5/25/2010,52.409396,13.185714,50,500,80,REDACTED,Other(Specify),Former_frontier_area_in_the_forest,1,0,0,0,0,0,0,NA,10,0,75,NA,NA,NA,NA,NA,75,77,75,48,51,33,28,20,11,11,10,10,9,6,5,0,0,0,0,0,2,78,NA,6,NA,NA,NA,67,97,51,56,57,21,58,10,12,17,6,23,4,7,5,0,0,0,0,0,0,30,NA,NA,NA,NA,NA,91,51,103,NA,86,49,9,63,NA,37,18,6,20,NA,12,1,0,0,NA,0,5,62,4,4,NA,NA,5,106,93,101,58,78,57,31,42,9,19,21,12,10,7,11,0,0,0,0,0,49,89,5,7,8,7,9,88,54,36,54,91,21,10,4,12,24,11,7,5,7,11,0,0,0,0,0,80,31,11,5,9,10,9,64,56,13,28,54,20,18,3,6,13,9,8,5,5,6,0,0,0,3,0,13,51,6,6,NA,3,7,29,54,81,34,45,3,10,36,6,9,5,7,13,7,7,0,0,0,0,0,47,92,4,6,7,4,6,69,47,40,48,88,16,8,10,14,35,5,4,9,6,16,0,0,0,1,0,61,53,4,6,7,5,3,42,75,51,18,50,7,15,14,1,13,7,11,7,6,6,0,0,0,0,0,25,46,4,5,5,4,9,74,43,39,56,62,21,9,8,20,23,10,6,6,8,9,1,0,0,0,0,NA,NA,144,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
24,7/18/2010__5:57:02_AM,7/18/2010__7:22:02_AM,REDACTED,HVBER1,Europe,REDACTED,REDACTED,REDACTED,5/17/2010,52.4141,13.18171667,52,140,85,REDACTED,Other(Specify),Lane_edge_in_the_forest,1,0,0,0,0,0,1,NA,10,0,11,NA,NA,NA,NA,NA,62,52,63,40,30,22,7,14,3,2,10,5,10,10,5,0,1,0,0,1,1,10,NA,8,NA,NA,NA,NA,71,83,64,55,NA,26,27,7,7,NA,32,18,11,8,NA,0,0,0,1,0,9,NA,NA,NA,NA,NA,NA,60,43,65,64,NA,25,4,8,10,NA,12,11,11,10,NA,1,0,0,0,0,20,NA,NA,NA,NA,NA,44,79,76,NA,62,10,36,21,NA,16,10,21,13,NA,14,0,0,0,NA,0,1,16,NA,5,NA,NA,NA,55,49,36,54,73,8,8,6,7,22,8,8,7,10,14,0,0,0,0,0,0,16,NA,NA,NA,NA,NA,89,65,45,65,NA,31,13,7,13,NA,17,9,12,10,NA,0,1,0,0,NA,0,22,NA,NA,NA,NA,NA,20,NA,78,44,44,0,NA,21,8,6,7,NA,14,10,11,0,NA,0,0,0,0,20,NA,NA,NA,NA,NA,75,75,58,45,47,11,18,8,8,9,11,13,9,10,11,0,0,0,0,0,0,8,NA,NA,NA,NA,NA,52,34,NA,39,43,10,5,NA,6,6,8,4,NA,7,9,0,1,NA,0,0,2,11,6,NA,NA,NA,4,43,NA,58,NA,60,8,NA,10,NA,11,8,NA,8,NA,10,0,NA,0,NA,0,YES,meridional@freenet.de,136,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.76
25,7/15/2010__5:09:56_PM,7/15/2010__5:30:04_PM,REDACTED,JFWAS1,NorthAm,REDACTED,REDACTED,REDACTED,6/10/2010,38.93795556,-77.078375,112,816,80,REDACTED,Forest_Edge,edge_of_playground_&_dirt_path,0,0,1,0,0,0,0,NA,10,3,2,NA,NA,NA,NA,23,101,NA,NA,NA,NA,81,NA,NA,NA,NA,12,NA,NA,NA,NA,4,NA,NA,NA,NA,5,5,15,10,5,5,NA,NA,NA,110,113,112,NA,NA,27,30,30,NA,NA,27,30,30,NA,NA,8,11,5,0,5,NA,NA,NA,NA,NA,NA,100,113,90,98,NA,50,83,90,90,NA,40,12,25,31,NA,6,6,9,25,0,7,NA,NA,NA,NA,NA,99,106,NA,105,111,44,117,NA,29,39,18,37,NA,19,14,8,20,NA,7,11,3,7,NA,NA,2,NA,2,115,110,NA,98,105,48,65,NA,47,48,27,20,NA,16,13,18,10,NA,16,10,2,7,5,NA,5,NA,NA,80,100,98,91,99,21,25,98,91,99,7,6,12,16,15,7,6,12,16,12,25,7,7,8,5,4,4,NA,96,90,94,NA,NA,64,32,37,NA,NA,14,15,11,NA,NA,8,4,7,NA,2,10,10,NA,2,NA,NA,104,90,88,97,NA,54,23,90,39,NA,16,8,23,18,NA,8,3,20,8,NA,0,4,NA,NA,NA,NA,NA,NA,91,76,NA,NA,NA,20,18,NA,NA,NA,11,8,NA,NA,NA,11,8,NA,NA,1,0,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.75
26,7/14/2010__6:25:21_PM,7/14/2010__6:38:49_PM,REDACTED,JWBOY1,NorthAm,REDACTED,REDACTED,REDACTED,6/24/2010,39.061684,-78.074413,250.9,435,75,REDACTED,Forest_Understory,NA,1,0,0,0,0,0,1,NA,10,18,7,6,4,6,16,6,36,60,92,100,90,3,10,21,30,24,1,5,7,11,4,0,5,4,2,3,41,14,4,4,3,4,4,71,100,85,100,87,12,24,24,37,15,3,16,2,11,0,3,1,1,2,0,102,5,4,1,5,5,4,98,55,70,115,70,26,6,9,25,9,8,0,3,0,3,3,0,3,0,3,23,4,7,4,NA,3,NA,72,86,NA,NA,NA,10,27,NA,NA,NA,3,11,NA,NA,NA,3,11,NA,NA,NA,3,3,4,3,NA,2,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,9,NA,NA,NA,NA,7,NA,NA,NA,NA,7,1,2,NA,0.5,NA,NA,NA,85,NA,NA,NA,110,17,NA,NA,NA,32,4,NA,NA,NA,0,4,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,11,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,6,7,6,6,4,1,5,NA,NA,81,65,68,NA,NA,12,6,6,NA,NA,4,0,4,NA,NA,2,0,4,12,0,6,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,3,6,8,NA,135,NA,NA,NA,NA,52,NA,NA,NA,NA,9,NA,NA,NA,NA,6,NA,NA,NA,NO,NA,174,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.64
27,7/13/2010__11:14:03_PM,7/13/2010__11:30:36_PM,REDACTED,MHBUR1,NorthAm,REDACTED,REDACTED,REDACTED,7/2/2010,41.9675,-71.7069,128,354.96,45,REDACTED,Roadside,NA,0,1,0,0,1,0,0,NA,10,31,12,5.1,6.2,3.6,9.9,6,123,69,72,101,54,10,6,13,17,10,11,4,5,7,5,8,2,2,6,1,40,25,10.5,5.2,9.1,12.3,6.4,39,67,88,41,98,11,7,11,10,10,8,7,13,12,0,2,3,5,9,0,18,8,3.4,13.2,19.8,12.6,9.4,116,88,37,69,78,38,17,9,11,13,31,18,14,13,14,18,9,4,2,6,12,5,22.2,18.7,16.9,17.5,20,91,13.1,36,42,88,28,45,11,26,109,27,25,6,18,50,9,11,1,4,18,15,8,8.1,12.4,8.9,31.3,10.8,68,41,18,25,39,14,62,24,72,25,10,23,23,45,11,2,4,9,19,7,7,2,38.2,15.1,19.2,31.4,28.8,39,91,NA,NA,NA,19,64,NA,NA,NA,16,33,NA,NA,NA,8,14,NA,NA,NA,11,3,3.5,12.6,9.2,9.5,18.7,42,87,103,NA,NA,13,69,82,NA,NA,25,34,42,NA,NA,4,16,11,NA,NA,52,15,15,16.3,9.9,31,11.1,18,64,45,73,61,6,35,28,49,51,10,13,20,28,30,6,10,8,11,14,69,21,6.8,22.6,17.7,15.4,21.5,39,56,61,43,72,15,18,41,25,17,23,5,20,17,21,5,0,6,4,2,9,4,9.5,12.6,8.1,7.6,17.2,6.6,6.9,4.1,105,NA,10,32,61,48,NA,10,15,29,22,NA,5,3,15,3,NA,YES,heard.m@gmail.com,182,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.16333333
